pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
BD+49 828 b,BD+49 828,1,Radial Velocity,2015,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.0420000,7.6540000,-7.6540000,9.3810000,0.0050000,-0.0050000,6.5710000,0.0210000,-0.0210000,9.0285100,0.0002350,-0.0002350
BD+55 362 b,BD+55 362,1,Radial Velocity,2021,265.59000000,1.04000000,-1.04000000,0,0.780000,0.050000,-0.050000,0,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697000,0.0974000,-0.0971000,9.3800000,0.0300000,-0.0300000,7.3310000,0.0210000,-0.0210000,9.1530500,0.0001630,-0.0001630
BD+60 1417 b,BD+60 1417,1,Imaging,2021,,,,,1662.000000,,,0,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543000,0.0593000,-0.0592000,9.3740000,0.0030000,-0.0030000,7.2880000,0.0240000,-0.0240000,9.1743900,0.0005330,-0.0005330
BD+63 1405 b,BD+63 1405,1,Radial Velocity,2021,1198.48000000,60.79000000,-60.79000000,0,2.060000,0.140000,-0.140000,0,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473000,0.0329000,-0.0329000,8.9600000,0.0300000,-0.0300000,6.7800000,0.0170000,-0.0170000,8.7050000,0.0002570,-0.0002570
BD-06 1339 b,BD-06 1339,1,Radial Velocity,2013,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000,0.0220000,-0.0218000,9.7000000,0.0300000,-0.0300000,6.3050000,0.0180000,-0.0180000,9.1067700,0.0006020,-0.0006020
BD-06 1339 c,BD-06 1339,1,Radial Velocity,2013,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000,0.0220000,-0.0218000,9.7000000,0.0300000,-0.0300000,6.3050000,0.0180000,-0.0180000,9.1067700,0.0006020,-0.0006020
BD-08 2823 b,BD-08 2823,1,Radial Velocity,2009,5.60000000,0.02000000,-0.02000000,0,0.060000,0.000000,0.000000,0,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000,0.0685000,-0.0682000,9.8600000,0.0300000,-0.0300000,7.3230000,0.0210000,-0.0210000,9.5033100,0.0004180,-0.0004180
BD-08 2823 c,BD-08 2823,1,Radial Velocity,2009,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000,0.0685000,-0.0682000,9.8600000,0.0300000,-0.0300000,7.3230000,0.0210000,-0.0210000,9.5033100,0.0004180,-0.0004180
BD-10 3166 b,BD-10 3166,1,Radial Velocity,2000,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000,0.3537000,-0.3508000,10.0130000,0.0070000,-0.0070000,8.1240000,0.0260000,-0.0260000,9.8398100,0.0006070,-0.0006070
BD-11 4672 b,BD-11 4672,1,Radial Velocity,2014,1634.00000000,13.00000000,-14.00000000,0,2.360000,0.040000,-0.040000,0,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000,0.0346000,-0.0346000,10.0300000,0.0300000,-0.0300000,6.8670000,0.0240000,-0.0240000,9.4851100,0.0005180,-0.0005180
